SKU|Product Name|Price|Department
AV1001|JBL Bluetooth Speaker|89.95|Audio Video
AV1002|Mini Home Projector|149.99|Audio Video
AV1003|Sony Noise Cancelling Headphones|199.99|Audio Video
AV1004|Smart TV Streaming Stick|39.99|Audio Video
AV1005|Portable DVD Player|79.95|Audio Video

GM2001|Retro Handheld Arcade Console|24.99|Gaming
GM2002|Wireless Gaming Mouse|59.99|Gaming
GM2003|Mechanical Gaming Keyboard|89.99|Gaming
GM2004|Xbox Controller|64.99|Gaming
GM2005|Nintendo Switch Carrying Case|29.99|Gaming

EL3001|Solar Power Bank Charger|19.99|Electronics
EL3002|USB-C Charging Cable|14.99|Electronics
EL3003|Wireless Phone Charger|34.99|Electronics
EL3004|Portable Laptop Cooling Pad|44.99|Electronics
EL3005|Smart Plug 2-Pack|24.99|Electronics

HM4001|Memory Foam Pillow|39.99|Home
HM4002|LED Desk Lamp|27.99|Home
HM4003|Electric Kettle|49.99|Home
HM4004|Air Fryer|89.99|Home
HM4005|Vacuum Storage Bags|18.99|Home

OF5001|Ergonomic Office Chair Cushion|34.99|Office
OF5002|Wireless Printer|129.99|Office
OF5003|Desk Organizer Set|22.99|Office
OF5004|Blue Light Blocking Glasses|19.99|Office
OF5005|Notebook 5-Pack|12.99|Office

FT6001|Yoga Mat|29.99|Fitness
FT6002|Adjustable Dumbbells|149.99|Fitness
FT6003|Resistance Band Set|24.99|Fitness
FT6004|Insulated Water Bottle|21.99|Fitness
FT6005|Fitness Tracker Watch|99.99|Fitness